Concept_Wiki_Title	Aliases	Wiki_URL
Pattern recognition		https://en.wikipedia.org/wiki/Pattern_recognition
Perceptron		https://en.wikipedia.org/wiki/Perceptron
Permutation		https://en.wikipedia.org/wiki/Permutation
Plotly		https://en.wikipedia.org/wiki/Plotly
Poisson regression		https://en.wikipedia.org/wiki/Poisson_regression
Polynomial regression		https://en.wikipedia.org/wiki/Polynomial_regression
PostgreSQL		https://en.wikipedia.org/wiki/PostgreSQL
Prediction		https://en.wikipedia.org/wiki/Prediction
Predictive Modeling		https://en.wikipedia.org/wiki/Predictive_modelling
Primary key		https://en.wikipedia.org/wiki/Primary_key
Principal Component Analysis		https://en.wikipedia.org/wiki/Principal_component_analysis
Probablity distribution		https://en.wikipedia.org/wiki/Probability_distribution
Probaility Theory		https://en.wikipedia.org/wiki/Probability_theory
Python Classes		https://en.wikipedia.org/wiki/Python_(programming_language)
Python Error Handling		https://en.wikipedia.org/wiki/Exception_handling
Python Package Index		https://en.wikipedia.org/wiki/Python_Package_Index
PyTorch		https://en.wikipedia.org/wiki/PyTorch
Q Learning		https://en.wikipedia.org/wiki/Q-learning
Quantum machine learning		https://en.wikipedia.org/wiki/Quantum_machine_learning
R (programming langauage)	R programming__R 	https://en.wikipedia.org/wiki/R_(programming_language)
Random Forest Algorithm		https://en.wikipedia.org/wiki/Random_forest
Random number generation		https://en.wikipedia.org/wiki/Random_number_generation
Random Variable		https://en.wikipedia.org/wiki/Random_variable
RapidMiner	Rapidminer	https://en.wikipedia.org/wiki/RapidMiner
Recommendation system		https://en.wikipedia.org/wiki/Recommender_system
Recurrent Neural Network		https://en.wikipedia.org/wiki/Recurrent_neural_network
Regression analysis		https://en.wikipedia.org/wiki/Regression_analysis
Regular Expressions	Regex	https://en.wikipedia.org/wiki/Regular_expression
Regularization (mathematics)	Regularization	https://en.wikipedia.org/wiki/Regularization_(mathematics)
Reinforcement learning		https://en.wikipedia.org/wiki/Reinforcement_learning
Relational database		https://en.wikipedia.org/wiki/Relational_database
Restricted Boltzmann Machines		https://en.wikipedia.org/wiki/Restricted_Boltzmann_machine
RFM (market research)		https://en.wikipedia.org/wiki/RFM_(market_research)
Sampling distribution		https://en.wikipedia.org/wiki/Sampling_distribution
SAS (software)	SAS	https://en.wikipedia.org/wiki/SAS_(software)
Scala (programming language)		https://en.wikipedia.org/wiki/Scala_(programming_language)
Scatter plot		https://en.wikipedia.org/wiki/Scatter_plot
Scikit-learn		https://en.wikipedia.org/wiki/Scikit-learn
Scipy		https://en.wikipedia.org/wiki/SciPy
Seaborn		https://en.wikipedia.org/wiki/Seaborn
Search Algorithm	Search Algorithms	https://en.wikipedia.org/wiki/Search_algorithm
Self-Organizing Maps	SOM	https://en.wikipedia.org/wiki/Self-organizing_map
Semantic Search		https://en.wikipedia.org/wiki/Semantic_search
Sentence embeddings		https://en.wikipedia.org/wiki/Sentence_embedding
Sentiment Analysis		https://en.wikipedia.org/wiki/Sentiment_analysis
Seq2seq	Sequence-to-sequence models___Seq2Seq	https://en.wikipedia.org/wiki/Seq2seq
Similarity Methods		https://en.wikipedia.org/wiki/Similarity_measure
Simple linear regression		https://en.wikipedia.org/wiki/Simple_linear_regression
simple random sample	random sample	https://en.wikipedia.org/wiki/Simple_random_sample
Simulated Annealing		https://en.wikipedia.org/wiki/Simulated_annealing
Slicing		https://en.wikipedia.org/wiki/Array_slicing
Social network analysis		https://en.wikipedia.org/wiki/Social_network_analysis
Software Requirements		https://en.wikipedia.org/wiki/Software_requirements
SpaCy		https://en.wikipedia.org/wiki/SpaCy
Spark NLP		https://en.wikipedia.org/wiki/Spark_NLP
SPSS Modeler		https://en.wikipedia.org/wiki/SPSS_Modeler
SQL Server		https://en.wikipedia.org/wiki/Microsoft_SQL_Server
Sqoop		https://en.wikipedia.org/wiki/Sqoop
Standard deviation		https://en.wikipedia.org/wiki/Standard_deviation
Stastical Hypothesis Testing		https://en.wikipedia.org/wiki/Statistical_hypothesis_testing
Statistical Inference		https://en.wikipedia.org/wiki/Statistical_inference
Statistical model		https://en.wikipedia.org/wiki/Statistical_model
Statistics		https://en.wikipedia.org/wiki/Statistics
Stepwise regression		https://en.wikipedia.org/wiki/Stepwise_regression
Stochastic gradient descent		https://en.wikipedia.org/wiki/Stochastic_gradient_descent
Stochastic simulation		https://en.wikipedia.org/wiki/Stochastic_simulation
Stream Processing		https://en.wikipedia.org/wiki/Stream_processing
Subsetting Data 		https://en.wikipedia.org/wiki/Subsetting
Summarizing Article		https://en.wikipedia.org/wiki/Automatic_summarization
Supervised learning		https://en.wikipedia.org/wiki/Supervised_learning
Support Vector Machine	SVM	https://en.wikipedia.org/wiki/Support_vector_machine
Swarm intelligence		https://en.wikipedia.org/wiki/Swarm_intelligence
t-test		https://en.wikipedia.org/wiki/Student%27s_t-test
Tableau Software	Tableau	https://en.wikipedia.org/wiki/Tableau_Software
Tabu search		https://en.wikipedia.org/wiki/Tabu_search
Tag cloud	Word Cloud	https://en.wikipedia.org/wiki/Tag_cloud
Tensorflow		https://en.wikipedia.org/wiki/TensorFlow
Test method		https://en.wikipedia.org/wiki/Test_method
Text Mining		https://en.wikipedia.org/wiki/Text_mining
Thompson Sampling		https://en.wikipedia.org/wiki/Thompson_sampling
Thresholding (image processing)	Thresholding	https://en.wikipedia.org/wiki/Thresholding_(image_processing)
Time series		https://en.wikipedia.org/wiki/Time_series
Tkinter		https://en.wikipedia.org/wiki/Tkinter
Transfer learning		https://en.wikipedia.org/wiki/Transfer_learning
Transformer (machine learning model)	Transformer	https://en.wikipedia.org/wiki/Transformer_(machine_learning_model)
Two-Step Cluster Analysis		https://en.wikipedia.org/wiki/Hierarchical_clustering
Typescript		https://en.wikipedia.org/wiki/TypeScript
Unsupervised Learning		https://en.wikipedia.org/wiki/Unsupervised_learning
Vanishing Gradient problem		https://en.wikipedia.org/wiki/Vanishing_gradient_problem
Vector calculus		https://en.wikipedia.org/wiki/Vector_calculus
Vector projection	Vector projections	https://en.wikipedia.org/wiki/Vector_projection
Vector space		https://en.wikipedia.org/wiki/Vector_space
Virtual assistant		https://en.wikipedia.org/wiki/Virtual_assistant
Weak supervision		https://en.wikipedia.org/wiki/Weak_supervision
Web analytics		https://en.wikipedia.org/wiki/Web_analytics
Web scraping 	Scraping	https://en.wikipedia.org/wiki/Web_scraping
Weka		https://en.wikipedia.org/wiki/Weka_(machine_learning)
Word embedding	Word embeddings	https://en.wikipedia.org/wiki/Word_embedding
